listing_id,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,,,,,,,,,,,
4356619,"[Pack u2019n Play/travel crib"""," ""Washer"""," ""Self check-in"""," ""Window guards"""," ""Fire extinguisher"""," ""Iron"""," ""Wifi"""," ""Hair dryer"""," ""Table corner guards"""," ""Heating"""," ""Crib"""," ""TV"""," ""Outlet covers"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Free street parking"""," ""Free parking on premises"""," ""Bathroom essentials"""," ""Elevator"""," ""Dryer"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15607569,"[Dishwasher"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""Indoor fireplace"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Elevator"""," ""Bed linens"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,
55710,"[Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Self check-in"""," ""Fire extinguisher"""," ""Iron"""," ""Wifi"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Game console"""," ""Free street parking"""," ""Bathroom essentials"""," ""Dryer"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16824751,"[Paid parking off premises"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Elevator"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,
1213068,"[Cable TV"""," ""Elevator"""," ""Washer"""," ""TV"""," ""Fire extinguisher"""," ""Long term stays allowed"""," ""Wifi"""," ""Essentials"""," ""Hair dryer"""," ""Air conditioning"""," ""First aid kit"""," ""Hangers"""," ""Iron"""," ""Kitchen"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069114,"[Washer"""," ""Dedicated workspace"""," ""Window guards"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Smart lock"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
86187,"[Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Self check-in"""," ""Fire extinguisher"""," ""Iron"""," ""Bathtub"""," ""Wifi"""," ""Hair dryer"""," ""Heating"""," ""High chair"""," ""TV"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Free street parking"""," ""Bathroom essentials"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7933304,"[Paid parking off premises"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Host greets you"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,,,
4478764,"[Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""Baking sheet"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,
7469190,"[Paid parking off premises"""," ""Lockbox"""," ""Washer"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Elevator"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
