amenity_clean,num_aurelia_lsiting
Washer,196
"Dedicated workspace",181
Microwave,117
"Fire extinguisher",85
Dishwasher,82
"Pack u2019n Play/travel crib",78
"Paid parking off premises",76
Hangers,67
Lockbox,30
Iron,26
Elevator,21
"Dishes and silverware",20
Shampoo,20
TV,15
"Window guards",12
Refrigerator,11
"Body soap",10
"Bathroom essentials",9
"Self check-in",9
"Hot water",6
"Free street parking",5
"Bedroom comforts",5
"Cooking basics",4
Oven,4
"Free parking on premises",3
"Luggage dropoff allowed",3
"55 HDTV with Netflix",3
"Amazon Prime Video",3
Stove,3
"Cable TV",3
Crib,3
"Extra pillows and blankets",3
Dryer,2
"Patio or balcony",2
"Hot tub",2
"Ethernet connection",2
Wifi,2
"Nespresso machine",1
"Board games",1
"Cleaning before checkout",1
"Paid parking garage on premises u2013 10 spaces",1
"Bed linens",1
"Pets allowed",1
"Private entrance",1
"Room-darkening shades",1
"28 HDTV",1
"First aid kit",1
Kitchen,1
Essentials,1
"EV charger",1
