city,num_listings,avg_pricing,avg_rating,avg_rating_location,total_reviews,Log(total_reviews)
Rome,27646,105.11064891846922,70.6699,7.1968,556672,13.229731476517255
Paris,64690,113.09644458185191,69.1053,7.1822,606876,13.316079765812157
"Mexico City",20064,1149.280452551834,68.4583,7.0555,238780,12.38329790489938
"New York",37012,142.84224035447963,67.8376,6.9354,423856,12.957149053887756
"Cape Town",19086,2405.1203499947605,66.4534,6.8215,151171,11.926166925390001
Sydney,33630,222.0064228367529,62.0312,6.4277,241279,12.393709219230805
"Rio de Janeiro",26615,742.5892541799738,57.2723,5.9061,161631,11.993071238354956
Bangkok,19360,2078.282076446281,53.7062,5.3323,142166,11.864750667902996
"Hong Kong",7086,746.1929156082416,47.8288,5.0957,67114,11.114147945011881
Istanbul,24519,532.5574452465435,41.7045,4.3159,97009,11.48255903668655
41.90679,1,2,10.0000,10.0000,13,2.5649493574615367
13.7801,1,3,10.0000,10.0000,2,0.6931471805599453
19.41074,1,1,9.0000,10.0000,3,1.0986122886681098
22.5115,1,1,0.0000,0.0000,0,NULL
