room_type,property_type,NY_total_accommodates,Rome_total_accommodates,NY_num_listing,Rome_num_listing,NY_total_reviews,Rome_total_reviews,NY_reviews_rating,Rome_reviews_rating,NY_avg_price,Rome_avg_price
"Entire place",Barn,3.0000,0.0000,2,0,4,0,50.0000,0.0000,600,0
"Entire place",Boat,3.0000,2.0000,4,1,171,0,96.0000,0.0000,125.5,59.279999999999994
"Entire place",Bus,8.0000,0.0000,1,0,1,0,0.0000,0.0000,150,0
"Entire place",Camper/RV,3.1176,4.0000,17,2,155,1,65.1176,40.0000,85.70588235294117,59.849999999999994
"Entire place",Campsite,0.0000,5.3333,0,3,0,9,0.0000,71.3333,0,68.39999999999999
"Entire place","Casa particular",0.0000,2.0000,0,2,0,0,0.0000,0.0000,0,50.73
"Entire place",Castle,0.0000,16.0000,0,1,0,0,0.0000,50.0000,0,68.39999999999999
"Entire place",Cave,2.5000,0.0000,2,0,1,0,45.0000,0.0000,135,0
"Entire place","Dome house",0.0000,2.5000,0,2,0,0,0.0000,0.0000,0,54.72
"Entire place","Earth house",0.0000,7.5000,0,2,0,38,0.0000,99.5000,0,214.89
"Entire place","Entire apartment",3.4098,4.5648,15506,14445,164967,360309,70.1006,78.0269,174.1508448342577,128.656240913811
"Entire place","Entire bed and breakfast",10.0000,6.0000,1,18,0,180,0.0000,72.2222,449,168.08666666666667
"Entire place","Entire bungalow",4.2667,3.7778,15,9,299,282,90.8000,61.0000,152.66666666666666,93.85999999999999
"Entire place","Entire cabin",0.0000,3.7143,0,7,0,38,0.0000,69.0000,0,92.33999999999999
"Entire place","Entire chalet",0.0000,4.3333,0,3,0,32,0.0000,66.0000,0,88.91999999999999
"Entire place","Entire condominium",3.6063,4.5772,983,1036,7413,19854,65.7996,70.1380,261.6785350966429,130.28131274131275
"Entire place","Entire cottage",5.0000,4.4167,6,12,294,310,79.0000,80.5000,203.33333333333334,118.55999999999999
"Entire place","Entire floor",3.9091,0.0000,11,0,183,0,76.8182,0.0000,160.8181818181818,0
"Entire place","Entire guest suite",3.3550,2.9535,231,43,7199,1366,89.9177,75.1395,117.07792207792208,75.05441860465115
